规格书编号,客户名称,产品,客户特征,参数编号,参数名称,参数类别,单位,客户要求值,内部基线值,是否存在差异,差异方向,差异说明
SPEC-001,某德系豪华品牌（项目代号D1）,前大灯总成（ADB自适应远光）,德系豪华品牌，对可靠性和EMC要求极为严苛,ELE-05,待机功耗,电气性能,mA,1,2,是,高于,客户要求≤1mA待机功耗，内部为2mA
SPEC-001,某德系豪华品牌（项目代号D1）,前大灯总成（ADB自适应远光）,德系豪华品牌，对可靠性和EMC要求极为严苛,ELE-06,浪涌电流,电气性能,A,15,15,否,一致,
SPEC-001,某德系豪华品牌（项目代号D1）,前大灯总成（ADB自适应远光）,德系豪华品牌，对可靠性和EMC要求极为严苛,ELE-07,CAN通信速率,电气性能,kbps,500,500,否,一致,
SPEC-001,某德系豪华品牌（项目代号D1）,前大灯总成（ADB自适应远光）,德系豪华品牌，对可靠性和EMC要求极为严苛,ELE-08,LIN通信速率,电气性能,kbps,19.2,19.2,否,一致,
SPEC-001,某德系豪华品牌（项目代号D1）,前大灯总成（ADB自适应远光）,德系豪华品牌，对可靠性和EMC要求极为严苛,ENV-01,最低工作温度,环境耐久,°C,-50,-40,是,高于,客户要求-50°C，内部仅-40°C
SPEC-001,某德系豪华品牌（项目代号D1）,前大灯总成（ADB自适应远光）,德系豪华品牌，对可靠性和EMC要求极为严苛,ENV-02,最高工作温度,环境耐久,°C,105,85,是,高于,客户要求105°C，内部仅85°C
SPEC-001,某德系豪华品牌（项目代号D1）,前大灯总成（ADB自适应远光）,德系豪华品牌，对可靠性和EMC要求极为严苛,ENV-03,存储温度下限,环境耐久,°C,-40,-40,否,一致,
SPEC-001,某德系豪华品牌（项目代号D1）,前大灯总成（ADB自适应远光）,德系豪华品牌，对可靠性和EMC要求极为严苛,ENV-04,存储温度上限,环境耐久,°C,105,105,否,一致,
SPEC-001,某德系豪华品牌（项目代号D1）,前大灯总成（ADB自适应远光）,德系豪华品牌，对可靠性和EMC要求极为严苛,ENV-05,防护等级,环境耐久,IP等级,IP67,IP67,否,一致,
SPEC-001,某德系豪华品牌（项目代号D1）,前大灯总成（ADB自适应远光）,德系豪华品牌，对可靠性和EMC要求极为严苛,ENV-06,盐雾试验,环境耐久,h,1440,720,是,高于,客户要求1440h盐雾，内部仅720h
SPEC-001,某德系豪华品牌（项目代号D1）,前大灯总成（ADB自适应远光）,德系豪华品牌，对可靠性和EMC要求极为严苛,ENV-07,高温高湿试验,环境耐久,h,2000,1000,是,高于,客户要求2000h高温高湿，内部仅1000h
SPEC-001,某德系豪华品牌（项目代号D1）,前大灯总成（ADB自适应远光）,德系豪华品牌，对可靠性和EMC要求极为严苛,ENV-08,温度循环次数,环境耐久,次,1000,500,是,高于,客户要求1000次温循，内部仅500次
SPEC-001,某德系豪华品牌（项目代号D1）,前大灯总成（ADB自适应远光）,德系豪华品牌，对可靠性和EMC要求极为严苛,ENV-09,耐振动(随机),环境耐久,Grms,8.0,5.0,是,高于,客户要求8Grms振动，内部仅5Grms
SPEC-001,某德系豪华品牌（项目代号D1）,前大灯总成（ADB自适应远光）,德系豪华品牌，对可靠性和EMC要求极为严苛,ENV-10,紫外线老化,环境耐久,h,2000,2000,否,一致,
SPEC-001,某德系豪华品牌（项目代号D1）,前大灯总成（ADB自适应远光）,德系豪华品牌，对可靠性和EMC要求极为严苛,MEC-01,灯罩冲击强度,机械性能,J,15,15,否,一致,
SPEC-001,某德系豪华品牌（项目代号D1）,前大灯总成（ADB自适应远光）,德系豪华品牌，对可靠性和EMC要求极为严苛,MEC-02,壳体弯曲刚度,机械性能,N/mm,50,50,否,一致,
SPEC-001,某德系豪华品牌（项目代号D1）,前大灯总成（ADB自适应远光）,德系豪华品牌，对可靠性和EMC要求极为严苛,MEC-03,安装点拔出力,机械性能,N,300,300,否,一致,
SPEC-001,某德系豪华品牌（项目代号D1）,前大灯总成（ADB自适应远光）,德系豪华品牌，对可靠性和EMC要求极为严苛,MEC-04,连接器插拔力,机械性能,N,80,80,否,一致,
SPEC-001,某德系豪华品牌（项目代号D1）,前大灯总成（ADB自适应远光）,德系豪华品牌，对可靠性和EMC要求极为严苛,MEC-05,调节电机寿命,机械性能,万次,5,5,否,一致,
SPEC-001,某德系豪华品牌（项目代号D1）,前大灯总成（ADB自适应远光）,德系豪华品牌，对可靠性和EMC要求极为严苛,MEC-06,整灯重量上限,机械性能,kg,2.8,3.5,是,高于,客户要求≤2.8kg，内部为3.5kg
SPEC-001,某德系豪华品牌（项目代号D1）,前大灯总成（ADB自适应远光）,德系豪华品牌，对可靠性和EMC要求极为严苛,MEC-07,跌落试验高度,机械性能,cm,60,60,否,一致,
SPEC-001,某德系豪华品牌（项目代号D1）,前大灯总成（ADB自适应远光）,德系豪华品牌，对可靠性和EMC要求极为严苛,MEC-08,紧固件扭矩,机械性能,N·m,8,8,否,一致,
SPEC-001,某德系豪华品牌（项目代号D1）,前大灯总成（ADB自适应远光）,德系豪华品牌，对可靠性和EMC要求极为严苛,EMC-01,静电放电(接触),EMC电磁兼容,kV,±8,±4,是,高于,客户要求±8kV接触放电，内部仅±4kV
SPEC-001,某德系豪华品牌（项目代号D1）,前大灯总成（ADB自适应远光）,德系豪华品牌，对可靠性和EMC要求极为严苛,EMC-02,静电放电(空气),EMC电磁兼容,kV,±15,±8,是,高于,客户要求±15kV空气放电，内部仅±8kV
SPEC-001,某德系豪华品牌（项目代号D1）,前大灯总成（ADB自适应远光）,德系豪华品牌，对可靠性和EMC要求极为严苛,EMC-03,传导骚扰限值,EMC电磁兼容,等级,Class 4,Class 3,是,高于,客户要求Class 4，内部仅Class 3
SPEC-001,某德系豪华品牌（项目代号D1）,前大灯总成（ADB自适应远光）,德系豪华品牌，对可靠性和EMC要求极为严苛,EMC-04,辐射骚扰限值,EMC电磁兼容,等级,Class 3,Class 3,否,一致,
SPEC-001,某德系豪华品牌（项目代号D1）,前大灯总成（ADB自适应远光）,德系豪华品牌，对可靠性和EMC要求极为严苛,EMC-05,电源瞬态抗扰度,EMC电磁兼容,等级,Level 3,Level 3,否,一致,
SPEC-001,某德系豪华品牌（项目代号D1）,前大灯总成（ADB自适应远光）,德系豪华品牌，对可靠性和EMC要求极为严苛,REG-01,中国CCC认证,法规认证,要求,必须,必须,否,一致,
SPEC-001,某德系豪华品牌（项目代号D1）,前大灯总成（ADB自适应远光）,德系豪华品牌，对可靠性和EMC要求极为严苛,REG-02,欧洲ECE R149,法规认证,要求,必须,必须,否,一致,
SPEC-001,某德系豪华品牌（项目代号D1）,前大灯总成（ADB自适应远光）,德系豪华品牌，对可靠性和EMC要求极为严苛,REG-03,美国SAE J1383,法规认证,要求,可选,可选,否,一致,
SPEC-001,某德系豪华品牌（项目代号D1）,前大灯总成（ADB自适应远光）,德系豪华品牌，对可靠性和EMC要求极为严苛,REG-04,功能安全ASIL等级,法规认证,等级,ASIL D,ASIL B,是,高于,客户要求ASIL D，内部仅ASIL B
SPEC-001,某德系豪华品牌（项目代号D1）,前大灯总成（ADB自适应远光）,德系豪华品牌，对可靠性和EMC要求极为严苛,REG-05,网络安全要求,法规认证,要求,ISO 21434,ISO 21434,否,一致,
SPEC-001,某德系豪华品牌（项目代号D1）,前大灯总成（ADB自适应远光）,德系豪华品牌，对可靠性和EMC要求极为严苛,REL-01,设计寿命,可靠性,h,15000,10000,是,高于,客户要求15000h寿命，内部仅10000h
SPEC-001,某德系豪华品牌（项目代号D1）,前大灯总成（ADB自适应远光）,德系豪华品牌，对可靠性和EMC要求极为严苛,REL-02,LED光衰标准(L70),可靠性,h,8000,8000,否,一致,
SPEC-001,某德系豪华品牌（项目代号D1）,前大灯总成（ADB自适应远光）,德系豪华品牌，对可靠性和EMC要求极为严苛,REL-03,PCBA MTBF,可靠性,h,100000,50000,是,高于,客户要求100000h MTBF，内部仅50000h
SPEC-001,某德系豪华品牌（项目代号D1）,前大灯总成（ADB自适应远光）,德系豪华品牌，对可靠性和EMC要求极为严苛,REL-04,调光电机耐久,可靠性,万次,10,10,否,一致,
SPEC-001,某德系豪华品牌（项目代号D1）,前大灯总成（ADB自适应远光）,德系豪华品牌，对可靠性和EMC要求极为严苛,REL-05,整车质保期,可靠性,年,3,3,否,一致,
SPEC-002,某日系合资品牌（项目代号J1）,前大灯总成（近光+远光+DRL）,日系合资品牌，注重光学品质和精细控制,OPT-01,近光光通量,光学性能,lm,1200,1200,否,一致,
SPEC-002,某日系合资品牌（项目代号J1）,前大灯总成（近光+远光+DRL）,日系合资品牌，注重光学品质和精细控制,OPT-02,远光光通量,光学性能,lm,1800,1800,否,一致,
SPEC-002,某日系合资品牌（项目代号J1）,前大灯总成（近光+远光+DRL）,日系合资品牌，注重光学品质和精细控制,OPT-03,近光中心照度,光学性能,lx@25m,45,45,否,一致,
SPEC-002,某日系合资品牌（项目代号J1）,前大灯总成（近光+远光+DRL）,日系合资品牌，注重光学品质和精细控制,OPT-04,远光中心照度,光学性能,lx@25m,120,120,否,一致,
SPEC-002,某日系合资品牌（项目代号J1）,前大灯总成（近光+远光+DRL）,日系合资品牌，注重光学品质和精细控制,OPT-05,近光截止线清晰度,光学性能,%,92,85,是,高于,客户要求截止线清晰度92%，内部仅85%
SPEC-002,某日系合资品牌（项目代号J1）,前大灯总成（近光+远光+DRL）,日系合资品牌，注重光学品质和精细控制,OPT-06,近光截止线水平偏移,光学性能,°,0.3,0.5,是,高于,客户要求水平偏移≤0.3°，内部为0.5°
SPEC-002,某日系合资品牌（项目代号J1）,前大灯总成（近光+远光+DRL）,日系合资品牌，注重光学品质和精细控制,OPT-07,色温范围,光学性能,K,5700-6300,5500-6500,是,不同,客户要求5700-6300K，内部为5500-6500K
SPEC-002,某日系合资品牌（项目代号J1）,前大灯总成（近光+远光+DRL）,日系合资品牌，注重光学品质和精细控制,OPT-08,日行灯亮度,光学性能,cd,300,300,否,一致,
SPEC-002,某日系合资品牌（项目代号J1）,前大灯总成（近光+远光+DRL）,日系合资品牌，注重光学品质和精细控制,OPT-09,转向灯亮度,光学性能,cd,150,150,否,一致,
SPEC-002,某日系合资品牌（项目代号J1）,前大灯总成（近光+远光+DRL）,日系合资品牌，注重光学品质和精细控制,OPT-10,光型均匀度,光学性能,%,85,75,是,高于,客户要求光型均匀度85%，内部仅75%
SPEC-002,某日系合资品牌（项目代号J1）,前大灯总成（近光+远光+DRL）,日系合资品牌，注重光学品质和精细控制,ELE-01,额定工作电压,电气性能,V,12,12,否,一致,
SPEC-002,某日系合资品牌（项目代号J1）,前大灯总成（近光+远光+DRL）,日系合资品牌，注重光学品质和精细控制,ELE-02,工作电压范围,电气性能,V,9-16,9-16,否,一致,
SPEC-002,某日系合资品牌（项目代号J1）,前大灯总成（近光+远光+DRL）,日系合资品牌，注重光学品质和精细控制,ELE-03,近光功耗,电气性能,W,35,35,否,一致,
SPEC-002,某日系合资品牌（项目代号J1）,前大灯总成（近光+远光+DRL）,日系合资品牌，注重光学品质和精细控制,ELE-04,远光功耗,电气性能,W,55,55,否,一致,
SPEC-002,某日系合资品牌（项目代号J1）,前大灯总成（近光+远光+DRL）,日系合资品牌，注重光学品质和精细控制,ELE-05,待机功耗,电气性能,mA,2,2,否,一致,
SPEC-002,某日系合资品牌（项目代号J1）,前大灯总成（近光+远光+DRL）,日系合资品牌，注重光学品质和精细控制,ELE-06,浪涌电流,电气性能,A,15,15,否,一致,
SPEC-002,某日系合资品牌（项目代号J1）,前大灯总成（近光+远光+DRL）,日系合资品牌，注重光学品质和精细控制,ELE-07,CAN通信速率,电气性能,kbps,500,500,否,一致,
SPEC-002,某日系合资品牌（项目代号J1）,前大灯总成（近光+远光+DRL）,日系合资品牌，注重光学品质和精细控制,ELE-08,LIN通信速率,电气性能,kbps,19.2,19.2,否,一致,
SPEC-002,某日系合资品牌（项目代号J1）,前大灯总成（近光+远光+DRL）,日系合资品牌，注重光学品质和精细控制,ENV-01,最低工作温度,环境耐久,°C,-40,-40,否,一致,
SPEC-002,某日系合资品牌（项目代号J1）,前大灯总成（近光+远光+DRL）,日系合资品牌，注重光学品质和精细控制,ENV-02,最高工作温度,环境耐久,°C,85,85,否,一致,
SPEC-002,某日系合资品牌（项目代号J1）,前大灯总成（近光+远光+DRL）,日系合资品牌，注重光学品质和精细控制,ENV-03,存储温度下限,环境耐久,°C,-40,-40,否,一致,
SPEC-002,某日系合资品牌（项目代号J1）,前大灯总成（近光+远光+DRL）,日系合资品牌，注重光学品质和精细控制,ENV-04,存储温度上限,环境耐久,°C,105,105,否,一致,
SPEC-002,某日系合资品牌（项目代号J1）,前大灯总成（近光+远光+DRL）,日系合资品牌，注重光学品质和精细控制,ENV-05,防护等级,环境耐久,IP等级,IP67,IP67,否,一致,
SPEC-002,某日系合资品牌（项目代号J1）,前大灯总成（近光+远光+DRL）,日系合资品牌，注重光学品质和精细控制,ENV-06,盐雾试验,环境耐久,h,960,720,是,高于,客户要求960h盐雾，内部仅720h
SPEC-002,某日系合资品牌（项目代号J1）,前大灯总成（近光+远光+DRL）,日系合资品牌，注重光学品质和精细控制,ENV-07,高温高湿试验,环境耐久,h,1000,1000,否,一致,
SPEC-002,某日系合资品牌（项目代号J1）,前大灯总成（近光+远光+DRL）,日系合资品牌，注重光学品质和精细控制,ENV-08,温度循环次数,环境耐久,次,500,500,否,一致,
SPEC-002,某日系合资品牌（项目代号J1）,前大灯总成（近光+远光+DRL）,日系合资品牌，注重光学品质和精细控制,ENV-09,耐振动(随机),环境耐久,Grms,5.0,5.0,否,一致,
SPEC-002,某日系合资品牌（项目代号J1）,前大灯总成（近光+远光+DRL）,日系合资品牌，注重光学品质和精细控制,ENV-10,紫外线老化,环境耐久,h,3000,2000,是,高于,客户要求3000h紫外老化，内部仅2000h
SPEC-002,某日系合资品牌（项目代号J1）,前大灯总成（近光+远光+DRL）,日系合资品牌，注重光学品质和精细控制,MEC-01,灯罩冲击强度,机械性能,J,15,15,否,一致,
SPEC-002,某日系合资品牌（项目代号J1）,前大灯总成（近光+远光+DRL）,日系合资品牌，注重光学品质和精细控制,MEC-02,壳体弯曲刚度,机械性能,N/mm,50,50,否,一致,
SPEC-002,某日系合资品牌（项目代号J1）,前大灯总成（近光+远光+DRL）,日系合资品牌，注重光学品质和精细控制,MEC-03,安装点拔出力,机械性能,N,300,300,否,一致,
SPEC-002,某日系合资品牌（项目代号J1）,前大灯总成（近光+远光+DRL）,日系合资品牌，注重光学品质和精细控制,MEC-04,连接器插拔力,机械性能,N,80,80,否,一致,
SPEC-002,某日系合资品牌（项目代号J1）,前大灯总成（近光+远光+DRL）,日系合资品牌，注重光学品质和精细控制,MEC-05,调节电机寿命,机械性能,万次,8,5,是,高于,客户要求电机寿命8万次，内部仅5万次
SPEC-002,某日系合资品牌（项目代号J1）,前大灯总成（近光+远光+DRL）,日系合资品牌，注重光学品质和精细控制,MEC-06,整灯重量上限,机械性能,kg,3.5,3.5,否,一致,
SPEC-002,某日系合资品牌（项目代号J1）,前大灯总成（近光+远光+DRL）,日系合资品牌，注重光学品质和精细控制,MEC-07,跌落试验高度,机械性能,cm,60,60,否,一致,
SPEC-002,某日系合资品牌（项目代号J1）,前大灯总成（近光+远光+DRL）,日系合资品牌，注重光学品质和精细控制,MEC-08,紧固件扭矩,机械性能,N·m,8,8,否,一致,
SPEC-002,某日系合资品牌（项目代号J1）,前大灯总成（近光+远光+DRL）,日系合资品牌，注重光学品质和精细控制,EMC-01,静电放电(接触),EMC电磁兼容,kV,±4,±4,否,一致,
SPEC-002,某日系合资品牌（项目代号J1）,前大灯总成（近光+远光+DRL）,日系合资品牌，注重光学品质和精细控制,EMC-02,静电放电(空气),EMC电磁兼容,kV,±8,±8,否,一致,
SPEC-002,某日系合资品牌（项目代号J1）,前大灯总成（近光+远光+DRL）,日系合资品牌，注重光学品质和精细控制,EMC-03,传导骚扰限值,EMC电磁兼容,等级,Class 3,Class 3,否,一致,
SPEC-002,某日系合资品牌（项目代号J1）,前大灯总成（近光+远光+DRL）,日系合资品牌，注重光学品质和精细控制,EMC-04,辐射骚扰限值,EMC电磁兼容,等级,Class 3,Class 3,否,一致,
SPEC-002,某日系合资品牌（项目代号J1）,前大灯总成（近光+远光+DRL）,日系合资品牌，注重光学品质和精细控制,EMC-05,电源瞬态抗扰度,EMC电磁兼容,等级,Level 3,Level 3,否,一致,
SPEC-002,某日系合资品牌（项目代号J1）,前大灯总成（近光+远光+DRL）,日系合资品牌，注重光学品质和精细控制,REG-01,中国CCC认证,法规认证,要求,必须,必须,否,一致,
SPEC-002,某日系合资品牌（项目代号J1）,前大灯总成（近光+远光+DRL）,日系合资品牌，注重光学品质和精细控制,REG-02,欧洲ECE R149,法规认证,要求,必须,必须,否,一致,
SPEC-002,某日系合资品牌（项目代号J1）,前大灯总成（近光+远光+DRL）,日系合资品牌，注重光学品质和精细控制,REG-03,美国SAE J1383,法规认证,要求,可选,可选,否,一致,
SPEC-002,某日系合资品牌（项目代号J1）,前大灯总成（近光+远光+DRL）,日系合资品牌，注重光学品质和精细控制,REG-04,功能安全ASIL等级,法规认证,等级,ASIL B,ASIL B,否,一致,
SPEC-002,某日系合资品牌（项目代号J1）,前大灯总成（近光+远光+DRL）,日系合资品牌，注重光学品质和精细控制,REG-05,网络安全要求,法规认证,要求,ISO 21434 Level 3,ISO 21434,是,高于,客户要求Level 3，内部为ISO 21434
SPEC-002,某日系合资品牌（项目代号J1）,前大灯总成（近光+远光+DRL）,日系合资品牌，注重光学品质和精细控制,REL-01,设计寿命,可靠性,h,10000,10000,否,一致,
SPEC-002,某日系合资品牌（项目代号J1）,前大灯总成（近光+远光+DRL）,日系合资品牌，注重光学品质和精细控制,REL-02,LED光衰标准(L70),可靠性,h,10000,8000,是,高于,客户要求L70达10000h，内部仅8000h
SPEC-002,某日系合资品牌（项目代号J1）,前大灯总成（近光+远光+DRL）,日系合资品牌，注重光学品质和精细控制,REL-03,PCBA MTBF,可靠性,h,50000,50000,否,一致,
SPEC-002,某日系合资品牌（项目代号J1）,前大灯总成（近光+远光+DRL）,日系合资品牌，注重光学品质和精细控制,REL-04,调光电机耐久,可靠性,万次,10,10,否,一致,
SPEC-002,某日系合资品牌（项目代号J1）,前大灯总成（近光+远光+DRL）,日系合资品牌，注重光学品质和精细控制,REL-05,整车质保期,可靠性,年,3,3,否,一致,
SPEC-003,某自主品牌新势力（项目代号E1）,前大灯总成（矩阵式LED）,造车新势力，强调低功耗和智能功能,OPT-01,近光光通量,光学性能,lm,1500,1200,是,高于,客户要求近光1500lm，内部仅1200lm
SPEC-003,某自主品牌新势力（项目代号E1）,前大灯总成（矩阵式LED）,造车新势力，强调低功耗和智能功能,OPT-02,远光光通量,光学性能,lm,2200,1800,是,高于,客户要求远光2200lm，内部仅1800lm
SPEC-003,某自主品牌新势力（项目代号E1）,前大灯总成（矩阵式LED）,造车新势力，强调低功耗和智能功能,OPT-03,近光中心照度,光学性能,lx@25m,45,45,否,一致,
SPEC-003,某自主品牌新势力（项目代号E1）,前大灯总成（矩阵式LED）,造车新势力，强调低功耗和智能功能,OPT-04,远光中心照度,光学性能,lx@25m,120,120,否,一致,
SPEC-003,某自主品牌新势力（项目代号E1）,前大灯总成（矩阵式LED）,造车新势力，强调低功耗和智能功能,OPT-05,近光截止线清晰度,光学性能,%,85,85,否,一致,
SPEC-003,某自主品牌新势力（项目代号E1）,前大灯总成（矩阵式LED）,造车新势力，强调低功耗和智能功能,OPT-06,近光截止线水平偏移,光学性能,°,0.5,0.5,否,一致,
SPEC-003,某自主品牌新势力（项目代号E1）,前大灯总成（矩阵式LED）,造车新势力，强调低功耗和智能功能,OPT-07,色温范围,光学性能,K,5500-6500,5500-6500,否,一致,
SPEC-003,某自主品牌新势力（项目代号E1）,前大灯总成（矩阵式LED）,造车新势力，强调低功耗和智能功能,OPT-08,日行灯亮度,光学性能,cd,300,300,否,一致,
SPEC-003,某自主品牌新势力（项目代号E1）,前大灯总成（矩阵式LED）,造车新势力，强调低功耗和智能功能,OPT-09,转向灯亮度,光学性能,cd,150,150,否,一致,
SPEC-003,某自主品牌新势力（项目代号E1）,前大灯总成（矩阵式LED）,造车新势力，强调低功耗和智能功能,OPT-10,光型均匀度,光学性能,%,75,75,否,一致,
SPEC-003,某自主品牌新势力（项目代号E1）,前大灯总成（矩阵式LED）,造车新势力，强调低功耗和智能功能,ELE-01,额定工作电压,电气性能,V,12,12,否,一致,
SPEC-003,某自主品牌新势力（项目代号E1）,前大灯总成（矩阵式LED）,造车新势力，强调低功耗和智能功能,ELE-02,工作电压范围,电气性能,V,9-16,9-16,否,一致,
SPEC-003,某自主品牌新势力（项目代号E1）,前大灯总成（矩阵式LED）,造车新势力，强调低功耗和智能功能,ELE-03,近光功耗,电气性能,W,25,35,是,高于,客户要求近光≤25W，内部为35W
SPEC-003,某自主品牌新势力（项目代号E1）,前大灯总成（矩阵式LED）,造车新势力，强调低功耗和智能功能,ELE-04,远光功耗,电气性能,W,40,55,是,高于,客户要求远光≤40W，内部为55W
SPEC-003,某自主品牌新势力（项目代号E1）,前大灯总成（矩阵式LED）,造车新势力，强调低功耗和智能功能,ELE-05,待机功耗,电气性能,mA,0.5,2,是,高于,客户要求待机≤0.5mA，内部为2mA
SPEC-003,某自主品牌新势力（项目代号E1）,前大灯总成（矩阵式LED）,造车新势力，强调低功耗和智能功能,ELE-06,浪涌电流,电气性能,A,15,15,否,一致,
SPEC-003,某自主品牌新势力（项目代号E1）,前大灯总成（矩阵式LED）,造车新势力，强调低功耗和智能功能,ELE-07,CAN通信速率,电气性能,kbps,1000,500,是,不同,客户要求CAN 1000kbps，内部为500kbps
SPEC-003,某自主品牌新势力（项目代号E1）,前大灯总成（矩阵式LED）,造车新势力，强调低功耗和智能功能,ELE-08,LIN通信速率,电气性能,kbps,19.2,19.2,否,一致,
SPEC-003,某自主品牌新势力（项目代号E1）,前大灯总成（矩阵式LED）,造车新势力，强调低功耗和智能功能,ENV-01,最低工作温度,环境耐久,°C,-40,-40,否,一致,
SPEC-003,某自主品牌新势力（项目代号E1）,前大灯总成（矩阵式LED）,造车新势力，强调低功耗和智能功能,ENV-02,最高工作温度,环境耐久,°C,95,85,是,高于,客户要求95°C（机舱温度高），内部为85°C
SPEC-003,某自主品牌新势力（项目代号E1）,前大灯总成（矩阵式LED）,造车新势力，强调低功耗和智能功能,ENV-03,存储温度下限,环境耐久,°C,-40,-40,否,一致,
SPEC-003,某自主品牌新势力（项目代号E1）,前大灯总成（矩阵式LED）,造车新势力，强调低功耗和智能功能,ENV-04,存储温度上限,环境耐久,°C,105,105,否,一致,
SPEC-003,某自主品牌新势力（项目代号E1）,前大灯总成（矩阵式LED）,造车新势力，强调低功耗和智能功能,ENV-05,防护等级,环境耐久,IP等级,IP67,IP67,否,一致,
SPEC-003,某自主品牌新势力（项目代号E1）,前大灯总成（矩阵式LED）,造车新势力，强调低功耗和智能功能,ENV-06,盐雾试验,环境耐久,h,720,720,否,一致,
SPEC-003,某自主品牌新势力（项目代号E1）,前大灯总成（矩阵式LED）,造车新势力，强调低功耗和智能功能,ENV-07,高温高湿试验,环境耐久,h,1000,1000,否,一致,
SPEC-003,某自主品牌新势力（项目代号E1）,前大灯总成（矩阵式LED）,造车新势力，强调低功耗和智能功能,ENV-08,温度循环次数,环境耐久,次,500,500,否,一致,
SPEC-003,某自主品牌新势力（项目代号E1）,前大灯总成（矩阵式LED）,造车新势力，强调低功耗和智能功能,ENV-09,耐振动(随机),环境耐久,Grms,5.0,5.0,否,一致,
SPEC-003,某自主品牌新势力（项目代号E1）,前大灯总成（矩阵式LED）,造车新势力，强调低功耗和智能功能,ENV-10,紫外线老化,环境耐久,h,2000,2000,否,一致,
SPEC-003,某自主品牌新势力（项目代号E1）,前大灯总成（矩阵式LED）,造车新势力，强调低功耗和智能功能,MEC-01,灯罩冲击强度,机械性能,J,15,15,否,一致,
SPEC-003,某自主品牌新势力（项目代号E1）,前大灯总成（矩阵式LED）,造车新势力，强调低功耗和智能功能,MEC-02,壳体弯曲刚度,机械性能,N/mm,50,50,否,一致,
SPEC-003,某自主品牌新势力（项目代号E1）,前大灯总成（矩阵式LED）,造车新势力，强调低功耗和智能功能,MEC-03,安装点拔出力,机械性能,N,300,300,否,一致,
SPEC-003,某自主品牌新势力（项目代号E1）,前大灯总成（矩阵式LED）,造车新势力，强调低功耗和智能功能,MEC-04,连接器插拔力,机械性能,N,80,80,否,一致,
SPEC-003,某自主品牌新势力（项目代号E1）,前大灯总成（矩阵式LED）,造车新势力，强调低功耗和智能功能,MEC-05,调节电机寿命,机械性能,万次,5,5,否,一致,
SPEC-003,某自主品牌新势力（项目代号E1）,前大灯总成（矩阵式LED）,造车新势力，强调低功耗和智能功能,MEC-06,整灯重量上限,机械性能,kg,2.5,3.5,是,高于,客户要求≤2.5kg，内部为3.5kg
